title,artist,link
Groom and Horse from South Frieze of the Parthenon (1836-1837),Groom and Horse from South Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20733?highlight=*:*
Seated Male Nude (1954),Elizabeth Blackadder Seated Male Nude ,https://collections.ed.ac.uk/art/record/21410?highlight=*:*
Untitled,Elaine Speirs Untitled,https://collections.ed.ac.uk/art/record/122771?highlight=*:*
Child's collar. Chinese,Unknown Child's collar. Chinese,https://collections.ed.ac.uk/art/record/102674?highlight=*:*
Untitled,Kirkland Main Untitled,https://collections.ed.ac.uk/art/record/99988?highlight=*:*
Saucer,Emma Gillies Saucer,https://collections.ed.ac.uk/art/record/53665?highlight=*:*
Seated Man and Woman,Elizabeth Blackadder Seated Man and Woman,https://collections.ed.ac.uk/art/record/20775?highlight=*:*
Table-Top Still Life (Circa 1968),Alan T. Johnston Table-Top Still Life ,https://collections.ed.ac.uk/art/record/122693?highlight=*:*
"Still Life, Oil Paints and Pots (1949)",Zygmunt Bukowski Still Life,https://collections.ed.ac.uk/art/record/22732?highlight=*:*
Aduton 51 (1977),Paul Feiler Aduton ,https://collections.ed.ac.uk/art/record/21666?highlight=*:*
Untitled (1969),Jennifer M. Hughes Untitled ,https://collections.ed.ac.uk/art/record/99837?highlight=*:*
Portrait of an Elderly Man (1953),Ian Short Portrait of an Elderly Man ,https://collections.ed.ac.uk/art/record/21204?highlight=*:*
Train Station Interior,Eric Urquhart Train Station Interior,https://collections.ed.ac.uk/art/record/21507?highlight=*:*
Vision in Time III (2006),Wilhelmina Barns-Graham CBE HRSA HRSW Vision in Time III ,https://collections.ed.ac.uk/art/record/54752?highlight=*:*
Self Portrait (1950),Zygmunt Bukowski Self Portrait ,https://collections.ed.ac.uk/art/record/22687?highlight=*:*
Self Portrait (Nov 1981),Richard Wright Self Portrait ,https://collections.ed.ac.uk/art/record/20771?highlight=*:*
Unknown,Jean Selby Unknown,https://collections.ed.ac.uk/art/record/50412?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21621?highlight=*:*
Portrait of a Young Woman (1960),William Hillary Portrait of a Young Woman ,https://collections.ed.ac.uk/art/record/20984?highlight=*:*
Evening Jaipur No.2,Ernest S. Lumsden Evening Jaipur No.,https://collections.ed.ac.uk/art/record/21750?highlight=*:*
March Morning (Circa 1956),Peter G. Collins March Morning ,https://collections.ed.ac.uk/art/record/22648?highlight=*:*
Self portrait (2006),Bridget Steed Self portrait ,https://collections.ed.ac.uk/art/record/99857?highlight=*:*
Untitled - Leaning Semi-Nude Male (1962),Roselyn M Underwood Untitled - Leaning Semi-Nude Male ,https://collections.ed.ac.uk/art/record/99443?highlight=*:*
Apollo Sauroktonos,Unknown Apollo Sauroktonos,https://collections.ed.ac.uk/art/record/20588?highlight=*:*
Untitled (1990s),Duncan N. Ganley Untitled ,https://collections.ed.ac.uk/art/record/21854?highlight=*:*
Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns Falling Figure in an Autumn Valley ,https://collections.ed.ac.uk/art/record/22589?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21586?highlight=*:*
Portrait of a Man in a Suit (1959),Albert Robson Portrait of a Man in a Suit ,https://collections.ed.ac.uk/art/record/20784?highlight=*:*
Twist (1989),Dorothy Black Twist ,https://collections.ed.ac.uk/art/record/21849?highlight=*:*
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/50430?highlight=*:*
Man in Black (possibly),Claudia Petretti Man in Black ,https://collections.ed.ac.uk/art/record/21482?highlight=*:*
Sampler (1932),Patty Mitchell Sampler ,https://collections.ed.ac.uk/art/record/100013?highlight=*:*
Untitled (JAN 1997),Sharon Cornwill Untitled ,https://collections.ed.ac.uk/art/record/21920?highlight=*:*
The Jungle (1990),John Brown The Jungle ,https://collections.ed.ac.uk/art/record/99469?highlight=*:*
Seated Male Nude (1953),Roy McCallum Seated Male Nude ,https://collections.ed.ac.uk/art/record/20897?highlight=*:*
Harbour (Circa 1965),James B. Thomson Harbour ,https://collections.ed.ac.uk/art/record/22619?highlight=*:*
Untitled - Sitting Nude Woman (1968),Alastair Burns Untitled - Sitting Nude Woman ,https://collections.ed.ac.uk/art/record/99475?highlight=*:*
Seated Elderly Couple (Apr 1963),John Bellany Seated Elderly Couple ,https://collections.ed.ac.uk/art/record/20767?highlight=*:*
Putti with Candelabrum (right group),Unknown Putti with Candelabrum ,https://collections.ed.ac.uk/art/record/20538?highlight=*:*
Saucer,Emma Gillies Saucer,https://collections.ed.ac.uk/art/record/53659?highlight=*:*
Seated Male Nude (25 JAN 1954),Catherine M Gibson Seated Male Nude ,https://collections.ed.ac.uk/art/record/21229?highlight=*:*
Portrait of a Woman (1950),Zygmunt Bukowski Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21368?highlight=*:*
Self Portrait - Male,Alexander Cree Self Portrait - Male,https://collections.ed.ac.uk/art/record/22697?highlight=*:*
Teapot (1924),Emma Gillies Teapot ,https://collections.ed.ac.uk/art/record/53742?highlight=*:*
Still Life with Kettle,Ronald G Browne Still Life with Kettle,https://collections.ed.ac.uk/art/record/122935?highlight=*:*
Untitled (1963),Carol Handyside Untitled ,https://collections.ed.ac.uk/art/record/99842?highlight=*:*
Anti-Matter (2013),Marissa Stoffer Anti-Matter ,https://collections.ed.ac.uk/art/record/47441?highlight=*:*
Plate,Emma Gillies Plate,https://collections.ed.ac.uk/art/record/53729?highlight=*:*
Portrait of a Woman (1939),Jessie May Stirling Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21135?highlight=*:*
Untitled - Kings and Queens (1969),Michael T R B Turnbull Untitled - Kings and Queens ,https://collections.ed.ac.uk/art/record/99446?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat Still Life with Garden Fork ,https://collections.ed.ac.uk/art/record/93355?highlight=*:*
Unknown,J Hamilton Glass Unknown,https://collections.ed.ac.uk/art/record/50459?highlight=*:*
Portrait of a Man (1955),Alexander S Campbell Portrait of a Man ,https://collections.ed.ac.uk/art/record/21316?highlight=*:*
Landscape (possibly),Donald Clark Landscape ,https://collections.ed.ac.uk/art/record/21487?highlight=*:*
On Italian Balcony,Muriel Davidson On Italian Balcony,https://collections.ed.ac.uk/art/record/53477?highlight=*:*
Church (1989),Joanne Leonie Milne Church ,https://collections.ed.ac.uk/art/record/21452?highlight=*:*
Placa del Sol (1991),Caroline Conway Placa del Sol ,https://collections.ed.ac.uk/art/record/21839?highlight=*:*
Seated Female Nude (1953),Robert L Thomson Seated Female Nude ,https://collections.ed.ac.uk/art/record/21122?highlight=*:*
Standing Male Nude (1959),James C. Y. Gavin Standing Male Nude ,https://collections.ed.ac.uk/art/record/20877?highlight=*:*
Untitled (1966),Molly Harris Untitled ,https://collections.ed.ac.uk/art/record/99834?highlight=*:*
Harbour Scene (1955),Myra E. Soni Harbour Scene ,https://collections.ed.ac.uk/art/record/22736?highlight=*:*
Untitled - Abstract Blue and Green Squares (1994),Roger Elliot Untitled - Abstract Blue and Green Squares ,https://collections.ed.ac.uk/art/record/99461?highlight=*:*
Untitled,Douglas Cook Untitled,https://collections.ed.ac.uk/art/record/22567?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),Riders from the North Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20710?highlight=*:*
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/53536?highlight=*:*
Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair (1964-1965),Gordon Bryce Untitled - Figure Drawing of A Woman Sitting on the Side of a Chair ,https://collections.ed.ac.uk/art/record/99274?highlight=*:*
Still Life with Torn Paper Collage,Unknown Still Life with Torn Paper Collage,https://collections.ed.ac.uk/art/record/122783?highlight=*:*
West Coast Seascape (Unknown),Catherine Orbach West Coast Seascape ,https://collections.ed.ac.uk/art/record/21790?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21566?highlight=*:*
Double Portrait (Circa 1981),Elizabeth A. Adamson Double Portrait ,https://collections.ed.ac.uk/art/record/123291?highlight=*:*
Portrait of a Seated Man (MAY 1960),John Gilbert Portrait of a Seated Man ,https://collections.ed.ac.uk/art/record/20996?highlight=*:*
Plate,Emma Gillies Plate,https://collections.ed.ac.uk/art/record/53712?highlight=*:*
Portrait of a Woman (1962),Helen Wishart Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21297?highlight=*:*
Portrait of a Man,Michael Douleny Portrait of a Man,https://collections.ed.ac.uk/art/record/21480?highlight=*:*
Step 3 (2013),Maria Hadam Step ,https://collections.ed.ac.uk/art/record/21308?highlight=*:*
Untitled (1946),Vivian Chapman Untitled ,https://collections.ed.ac.uk/art/record/21735?highlight=*:*
Untitled (1987),Martin McInally Untitled ,https://collections.ed.ac.uk/art/record/21939?highlight=*:*
Untitled (1965),Euphemia ,https://collections.ed.ac.uk/art/record/22496?highlight=*:*
Abstract in Grey and Brown (1994),Paul Dalrymple Abstract in Grey and Brown ,https://collections.ed.ac.uk/art/record/122904?highlight=*:*
Teacup,Emma Gillies Teacup,https://collections.ed.ac.uk/art/record/53634?highlight=*:*
Banners of the Banned (MAY 2017),Elle McKee Banners of the Banned ,https://collections.ed.ac.uk/art/record/100019?highlight=*:*
Still Life Jugs (1957),Beatrice Patricia Grimshaw Still Life Jugs ,https://collections.ed.ac.uk/art/record/122878?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
Seated Female Nude (1959),C Byron Seated Female Nude ,https://collections.ed.ac.uk/art/record/20917?highlight=*:*
Figure of Dionysos from the Parthenon (east pediment) (1837),Westmacott Figure of Dionysos from the Parthenon ,https://collections.ed.ac.uk/art/record/20632?highlight=*:*
Inverleith,Janice McNab Inverleith,https://collections.ed.ac.uk/art/record/22526?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),Riders from South Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20728?highlight=*:*
Notes for Final Composition (23 SEP 1985),Unknown Notes for Final Composition ,https://collections.ed.ac.uk/art/record/53539?highlight=*:*
Piana degli Greci (1958),Beatrice Patricia Grimshaw Piana degli Greci ,https://collections.ed.ac.uk/art/record/53481?highlight=*:*
Standing Male Nude (1964),Kirkland Main Standing Male Nude ,https://collections.ed.ac.uk/art/record/21169?highlight=*:*
Barley Field (1963),Anne E Jones Barley Field ,https://collections.ed.ac.uk/art/record/99257?highlight=*:*
Seated Female Nude (1953),Diana Douglas-Hamilton Seated Female Nude ,https://collections.ed.ac.uk/art/record/20927?highlight=*:*
Unknown (1960),Hugh Deans Unknown ,https://collections.ed.ac.uk/art/record/53577?highlight=*:*
Unknown (1957),Alejandro B. Bras,https://collections.ed.ac.uk/art/record/50602?highlight=*:*
Unknown (Unknown),Unknown Unknown ,https://collections.ed.ac.uk/art/record/21675?highlight=*:*
Reclining Male Nude (1959),Jean I. Beattie Reclining Male Nude ,https://collections.ed.ac.uk/art/record/20923?highlight=*:*
Portrait of a Middle Aged Woman (1949),Leszek Muszynski Portrait of a Middle Aged Woman ,https://collections.ed.ac.uk/art/record/22515?highlight=*:*
Untitled (1983),Robert Rivers Untitled ,https://collections.ed.ac.uk/art/record/99803?highlight=*:*
Untitled - Print of Figures Lying in a Garden (1962),Ann F Ward Untitled - Print of Figures Lying in a Garden ,https://collections.ed.ac.uk/art/record/99337?highlight=*:*
Unknown (1950),James T. Ferguson Unknown ,https://collections.ed.ac.uk/art/record/53500?highlight=*:*
Untitled (2007),Malin Johanson Untitled ,https://collections.ed.ac.uk/art/record/99977?highlight=*:*
Standing Female Nude holding Basket (25 JAN 1959),Barbara Strachan Standing Female Nude holding Basket ,https://collections.ed.ac.uk/art/record/20871?highlight=*:*
Unknown (1952),Alastair Fairweather Unknown ,https://collections.ed.ac.uk/art/record/50422?highlight=*:*
Three Standing Female Nudes (1957),Andrew Conkie Three Standing Female Nudes ,https://collections.ed.ac.uk/art/record/20926?highlight=*:*
Untitled (1981),Sarah Robertson Untitled ,https://collections.ed.ac.uk/art/record/21835?highlight=*:*
Male Nude in pose of Rodin's 'Thinker' (1957),Hylda M Sutcliffe Male Nude in pose of Rodin's 'Thinker' ,https://collections.ed.ac.uk/art/record/20830?highlight=*:*
Industrial Landscape,Unknown Industrial Landscape,https://collections.ed.ac.uk/art/record/123292?highlight=*:*
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/53504?highlight=*:*
Untitled (Unknown),Anna Richardson Untitled ,https://collections.ed.ac.uk/art/record/21937?highlight=*:*
Townscape in Snow (1980s),Paul Furneaux Townscape in Snow ,https://collections.ed.ac.uk/art/record/21434?highlight=*:*
Standing Nude Woman (Circa 1948),Thomas Kim Redpath Standing Nude Woman ,https://collections.ed.ac.uk/art/record/122737?highlight=*:*
Untitled (Unknown),NA,https://collections.ed.ac.uk/art/record/22022?highlight=*:*
Standing Female Nude (1958),Jacqueline A N Stieger Standing Female Nude ,https://collections.ed.ac.uk/art/record/122776?highlight=*:*
Still Life with Green Boots and Knotted Rope (1987),Sheila Arnot Still Life with Green Boots and Knotted Rope ,https://collections.ed.ac.uk/art/record/22543?highlight=*:*
Untitled (Unknown),Ross Thomson Untitled ,https://collections.ed.ac.uk/art/record/21725?highlight=*:*
Untitled (1966),Helen G. S Forde Untitled ,https://collections.ed.ac.uk/art/record/99815?highlight=*:*
Plate (1920s),Emma Gillies Plate ,https://collections.ed.ac.uk/art/record/122128?highlight=*:*
Untitled - Life Drawing of Reclining Female in Dress (1962),Isobel T Johnstone Untitled - Life Drawing of Reclining Female in Dress ,https://collections.ed.ac.uk/art/record/99251?highlight=*:*
Untitled - Greenhouse (1965-1966),James B. Thomson Untitled - Greenhouse ,https://collections.ed.ac.uk/art/record/99448?highlight=*:*
Dish (1924),Emma Gillies Dish ,https://collections.ed.ac.uk/art/record/122068?highlight=*:*
Untitled (1995-1996),Arabella Harvey Untitled ,https://collections.ed.ac.uk/art/record/21722?highlight=*:*
Self Portrait (1949),Alison E. H. Stuart Self Portrait ,https://collections.ed.ac.uk/art/record/122762?highlight=*:*
Untitled (Unknown),David C Duke Untitled ,https://collections.ed.ac.uk/art/record/21980?highlight=*:*
Unknown (1960),Alan M. Alexander Unknown ,https://collections.ed.ac.uk/art/record/50595?highlight=*:*
Untitled I (2007),Jenny Smith Untitled I ,https://collections.ed.ac.uk/art/record/99899?highlight=*:*
Untitled (1961),Paresh C. Chakraborty Untitled ,https://collections.ed.ac.uk/art/record/112305?highlight=*:*
Untitled (1969),James Fleming Untitled ,https://collections.ed.ac.uk/art/record/22490?highlight=*:*
Standing Female Nude (31 MAR 1954),John P Busby Standing Female Nude ,https://collections.ed.ac.uk/art/record/21432?highlight=*:*
Still Life with Goblet (Circa 1958),Alan M. Alexander Still Life with Goblet ,https://collections.ed.ac.uk/art/record/122797?highlight=*:*
Still Life in White and Grey,David Giblin Still Life in White and Grey,https://collections.ed.ac.uk/art/record/21519?highlight=*:*
Landscape with Horse (1945-1946),William MacLaren Landscape with Horse ,https://collections.ed.ac.uk/art/record/21065?highlight=*:*
Untitled (1983),Robert Rivers Untitled ,https://collections.ed.ac.uk/art/record/99807?highlight=*:*
Profile of a Woman (1963),Leon Francesco Morrocco Profile of a Woman ,https://collections.ed.ac.uk/art/record/122974?highlight=*:*
Portrait of a Man,Eric Fleming Portrait of a Man,https://collections.ed.ac.uk/art/record/21521?highlight=*:*
Seated Female Nude (1963),William Gillon Seated Female Nude ,https://collections.ed.ac.uk/art/record/21342?highlight=*:*
Unknown (NOV 1959),John Gilbert Unknown ,https://collections.ed.ac.uk/art/record/53493?highlight=*:*
Picnic at the New Bridge (1963),Alexander Moffat Picnic at the New Bridge ,https://collections.ed.ac.uk/art/record/22473?highlight=*:*
Standing Male Nude with White Cloth,Janet I. Coventry Standing Male Nude with White Cloth,https://collections.ed.ac.uk/art/record/22665?highlight=*:*
Man with Concrete Jungle Record,Garry Campbell Man with Concrete Jungle Record,https://collections.ed.ac.uk/art/record/21426?highlight=*:*
"Circo Togni, Ravenna (1957)",Peter McGinn Circo Togni,https://collections.ed.ac.uk/art/record/21114?highlight=*:*
"Composition with Hieroglyphics, Signs and Symbols (Circa 1977)",Sally E. Oswald Composition with Hieroglyphics,https://collections.ed.ac.uk/art/record/22561?highlight=*:*
Portrait of a Man with Beard (18 JAN 1957),R Wright Portrait of a Man with Beard ,https://collections.ed.ac.uk/art/record/20905?highlight=*:*
"Bank of the Amstel, Amsterdam (30 AUG 1948)",Marjorie Wallace Bank of the Amstel,https://collections.ed.ac.uk/art/record/50448?highlight=*:*
Untitled (DEC 1970),Kathryn M. Buchan Untitled ,https://collections.ed.ac.uk/art/record/21869?highlight=*:*
Reclining Female Nude (1960),Jean Ritchie Reclining Female Nude ,https://collections.ed.ac.uk/art/record/20789?highlight=*:*
Men at Work (1947-1948),Norma G Reid Men at Work ,https://collections.ed.ac.uk/art/record/20829?highlight=*:*
Seated Female Nude (1939-1940),James H Donaldson Seated Female Nude ,https://collections.ed.ac.uk/art/record/21125?highlight=*:*
Untitled (1997),Breda Flannagan Untitled ,https://collections.ed.ac.uk/art/record/21868?highlight=*:*
Two Figures Talking Over a Wall (1967),Margaret Lothian Two Figures Talking Over a Wall ,https://collections.ed.ac.uk/art/record/99271?highlight=*:*
Dorothy Allsop sampler (1936),Unknown Dorothy Allsop sampler ,https://collections.ed.ac.uk/art/record/102697?highlight=*:*
Untitiled (Circa 1960),Robert L Snowden Untitiled ,https://collections.ed.ac.uk/art/record/21544?highlight=*:*
Still Life Beside Window (1955),Elizabeth Blackadder Still Life Beside Window ,https://collections.ed.ac.uk/art/record/20738?highlight=*:*
Untitled (1983),Robert Rivers Untitled ,https://collections.ed.ac.uk/art/record/99810?highlight=*:*
Not For Gain (2016),Daisy Lafarge Not For Gain ,https://collections.ed.ac.uk/art/record/99238?highlight=*:*
Untitled - Life Drawing of a Bearded Man in Brown Jacket (1967),Isobel T Johnstone Untitled - Life Drawing of a Bearded Man in Brown Jacket ,https://collections.ed.ac.uk/art/record/99252?highlight=*:*
Abstract with Blue Stripes (quadriptych) (1969),Ian G. Robertson Abstract with Blue Stripes ,https://collections.ed.ac.uk/art/record/22569?highlight=*:*
Composition with Stripes and Full Moon (Circa 1973),Peter Bewsey Composition with Stripes and Full Moon ,https://collections.ed.ac.uk/art/record/20759?highlight=*:*
Putti with Candelabrum (left group),Unknown Putti with Candelabrum ,https://collections.ed.ac.uk/art/record/20539?highlight=*:*
Untitled (1963),NA,https://collections.ed.ac.uk/art/record/22024?highlight=*:*
Skeleton Studies (Circa 1957),David Young Skeleton Studies ,https://collections.ed.ac.uk/art/record/20861?highlight=*:*
Untitled (Unknown),Unknown Untitled ,https://collections.ed.ac.uk/art/record/21862?highlight=*:*
Still Life with Fish (1949),Alistair F. Flattely Still Life with Fish ,https://collections.ed.ac.uk/art/record/22700?highlight=*:*
Dish,Emma Gillies Dish,https://collections.ed.ac.uk/art/record/122069?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),Riders from the North Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20703?highlight=*:*
Portrait of a Bearded Man (Circa 1960),Derek Shiel Portrait of a Bearded Man ,https://collections.ed.ac.uk/art/record/20939?highlight=*:*
Three Men and a Snake (Unknown),Robert Rivers Three Men and a Snake ,https://collections.ed.ac.uk/art/record/21945?highlight=*:*
Untitled (Unknown),David C Duke Untitled ,https://collections.ed.ac.uk/art/record/21983?highlight=*:*
Bathers (1950),Zygmunt Bukowski Bathers ,https://collections.ed.ac.uk/art/record/122853?highlight=*:*
Seated Female Nude (Circa 1968),Alan T. Johnston Seated Female Nude ,https://collections.ed.ac.uk/art/record/20748?highlight=*:*
Portrait of a Woman (1958),Dorothy Durward Portrait of a Woman ,https://collections.ed.ac.uk/art/record/21141?highlight=*:*
Standing Female Nude (1951),Ruth Wilson Standing Female Nude ,https://collections.ed.ac.uk/art/record/21230?highlight=*:*
Untitled - Abstract Crowd Scene (1964-1965),William Gillon Untitled - Abstract Crowd Scene ,https://collections.ed.ac.uk/art/record/99477?highlight=*:*
"Metope 8, south entablature, Parthenon (1837)",Metope ,https://collections.ed.ac.uk/art/record/20650?highlight=*:*
Unknown (1950),Zygmunt Bukowski Unknown ,https://collections.ed.ac.uk/art/record/53555?highlight=*:*
Untitled (1961),Norma Kirk Untitled ,https://collections.ed.ac.uk/art/record/22010?highlight=*:*
Playground (1989),Linda Gilliard Playground ,https://collections.ed.ac.uk/art/record/22634?highlight=*:*
Cow in Interior (1974),Brent Miller Cow in Interior ,https://collections.ed.ac.uk/art/record/21680?highlight=*:*
The Battle (2013),Marissa Stoffer The Battle ,https://collections.ed.ac.uk/art/record/47445?highlight=*:*
Untitled (2006),Hannah Jasper Untitled ,https://collections.ed.ac.uk/art/record/99856?highlight=*:*
Ashes and Diamonds (Unknown),David Freed Ashes and Diamonds ,https://collections.ed.ac.uk/art/record/21654?highlight=*:*
Portrait of a Man,Robin E. Bownass Portrait of a Man,https://collections.ed.ac.uk/art/record/22669?highlight=*:*
"fig.1 Destination, fig 2 Time - 10.35 pm (1984)",Andrew Binnie fig.,https://collections.ed.ac.uk/art/record/99466?highlight=*:*
Unknown (1950),Francis Curran Unknown ,https://collections.ed.ac.uk/art/record/50506?highlight=*:*
Plate,Emma Gillies Plate,https://collections.ed.ac.uk/art/record/53674?highlight=*:*
"Metope 32, south entablature, Parthenon (1837)",Metope ,https://collections.ed.ac.uk/art/record/20646?highlight=*:*
In''Head (1973),Catherine Freeland In''Head ,https://collections.ed.ac.uk/art/record/112355?highlight=*:*
Game Birds,George Glen Game Birds,https://collections.ed.ac.uk/art/record/53607?highlight=*:*
Unknown,Unknown Unknown,https://collections.ed.ac.uk/art/record/50406?highlight=*:*
Yellow (1947),Charles D. Pulsford Yellow ,https://collections.ed.ac.uk/art/record/122745?highlight=*:*
Unknown (1950),Katherine B K Burns Unknown ,https://collections.ed.ac.uk/art/record/50571?highlight=*:*
Untitled - Drawing in Profile of a Sitting Woman (1980),Carolyn S Byres Untitled - Drawing in Profile of a Sitting Woman ,https://collections.ed.ac.uk/art/record/99425?highlight=*:*
Untitled (1960),Robert L Snowden Untitled ,https://collections.ed.ac.uk/art/record/21543?highlight=*:*
Multicolour Abstract (1970),Christopher J. Allan Multicolour Abstract ,https://collections.ed.ac.uk/art/record/122873?highlight=*:*
Standing Male Nude (1958),Ian Hodkinson Standing Male Nude ,https://collections.ed.ac.uk/art/record/20883?highlight=*:*
Unknown (1949),John Thomson Unknown ,https://collections.ed.ac.uk/art/record/50483?highlight=*:*
Untitled (Mar 1949),Allan W. Robson Untitled ,https://collections.ed.ac.uk/art/record/21743?highlight=*:*
Untitled,Unknown Untitled,https://collections.ed.ac.uk/art/record/99919?highlight=*:*
Urban Scene,Paul J Donaldson Urban Scene,https://collections.ed.ac.uk/art/record/21446?highlight=*:*
Yellow Abstract with Half People,Jim Mooney Yellow Abstract with Half People,https://collections.ed.ac.uk/art/record/22530?highlight=*:*
Portrait of a Man (1956),Unknown Portrait of a Man ,https://collections.ed.ac.uk/art/record/21258?highlight=*:*
"Metope 7, from entablature of the Parthenon (1837)",Metope ,https://collections.ed.ac.uk/art/record/20642?highlight=*:*
Emerging (1987),Paul Furneaux Emerging ,https://collections.ed.ac.uk/art/record/111441?highlight=*:*
Unknown (1989),Heather Macdonald Unknown ,https://collections.ed.ac.uk/art/record/50428?highlight=*:*
House and Figures in a Landscape,Judith A. Heller House and Figures in a Landscape,https://collections.ed.ac.uk/art/record/22578?highlight=*:*
Unknown,Jeffery Camp Unknown,https://collections.ed.ac.uk/art/record/50563?highlight=*:*
Radio Break (2006),Chris Nau Radio Break ,https://collections.ed.ac.uk/art/record/99879?highlight=*:*
"Mountains, Arran (Unknown)",Catherine Orbach Mountains,https://collections.ed.ac.uk/art/record/21968?highlight=*:*
Seated Female Nude at Washbasin (1946),Marjorie H. McLachlan Seated Female Nude at Washbasin ,https://collections.ed.ac.uk/art/record/122790?highlight=*:*
Standing Female Nude,Vincent Butler Standing Female Nude,https://collections.ed.ac.uk/art/record/21261?highlight=*:*
The Boston-Edinburgh Portfolio II (2006),Unknown The Boston-Edinburgh Portfolio II ,https://collections.ed.ac.uk/art/record/99855?highlight=*:*
Profile of Standing Male Nude with Staff,Alastair Fairweather Profile of Standing Male Nude with Staff,https://collections.ed.ac.uk/art/record/50425?highlight=*:*
Standing Female Nude (1957),Morag Cuthbertson Standing Female Nude ,https://collections.ed.ac.uk/art/record/20965?highlight=*:*
untitled (1961),James T Carlyle untitled ,https://collections.ed.ac.uk/art/record/21760?highlight=*:*
Untitled (1963),Leslie Allan Untitled ,https://collections.ed.ac.uk/art/record/99383?highlight=*:*
Untitled (2007),Emma Peacock Untitled ,https://collections.ed.ac.uk/art/record/99889?highlight=*:*
Untitled - Portrait of an Old Man (Feb 1962),William Gillon Untitled - Portrait of an Old Man ,https://collections.ed.ac.uk/art/record/99480?highlight=*:*
Unknown,Muriel Davidson Unknown,https://collections.ed.ac.uk/art/record/53474?highlight=*:*
Untitled (1966),Norman Orr Untitled ,https://collections.ed.ac.uk/art/record/22479?highlight=*:*
Horses of Helios from East Pediment,Horses of Helios from East Pediment,https://collections.ed.ac.uk/art/record/20635?highlight=*:*
Portrait of a Bearded Man (07 DEC 1954),James Lennox Portrait of a Bearded Man ,https://collections.ed.ac.uk/art/record/21192?highlight=*:*
Portrait of a Woman,Samuel John Peploe Portrait of a Woman,https://collections.ed.ac.uk/art/record/53886?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne Untitled ,https://collections.ed.ac.uk/art/record/21932?highlight=*:*
A Good Dream and a Bad Dream (1970),John Mooney A Good Dream and a Bad Dream ,https://collections.ed.ac.uk/art/record/20755?highlight=*:*
Seated Female Nude (Circa 1939),Alistair W McCheyne Seated Female Nude ,https://collections.ed.ac.uk/art/record/21139?highlight=*:*
Orkney Totem (1980),Reinhard Behrens Orkney Totem ,https://collections.ed.ac.uk/art/record/21690?highlight=*:*
Unknown (1947),Mabel D. Lawford Unknown ,https://collections.ed.ac.uk/art/record/50536?highlight=*:*
Untitled - Two Birds (1963),Norman Thom Untitled - Two Birds ,https://collections.ed.ac.uk/art/record/99417?highlight=*:*
Reclining Female Nude (1954),Margaret Proudfoot Reclining Female Nude ,https://collections.ed.ac.uk/art/record/21260?highlight=*:*
Made in Finland (2013),Tiina Lilja Made in Finland ,https://collections.ed.ac.uk/art/record/47439?highlight=*:*
Cross Section (1987),Alastair Mack Cross Section ,https://collections.ed.ac.uk/art/record/21650?highlight=*:*
Horse,Emma Gillies Horse,https://collections.ed.ac.uk/art/record/53750?highlight=*:*
Cantoria (front),Unknown Cantoria ,https://collections.ed.ac.uk/art/record/20579?highlight=*:*
Blue Mood (1986),Paul Furneaux Blue Mood ,https://collections.ed.ac.uk/art/record/21576?highlight=*:*
Portrait of a Man (1952),David Michie Portrait of a Man ,https://collections.ed.ac.uk/art/record/21385?highlight=*:*
Damn blast and a side order of damn,Colin Montgomery Damn blast and a side order of damn,https://collections.ed.ac.uk/art/record/22545?highlight=*:*
Untitled (1969),Richard Easson Untitled ,https://collections.ed.ac.uk/art/record/99832?highlight=*:*
Woman Seated on Sofa (May 1963),John Bellany Woman Seated on Sofa ,https://collections.ed.ac.uk/art/record/20779?highlight=*:*
Portrait of a Seated Man,Finlay Purvis Portrait of a Seated Man,https://collections.ed.ac.uk/art/record/21518?highlight=*:*
Unknown,Sean Byrne Unknown,https://collections.ed.ac.uk/art/record/53600?highlight=*:*
Parc de Tuileries - Paris (1963),John Bellany Parc de Tuileries - Paris ,https://collections.ed.ac.uk/art/record/21533?highlight=*:*
